rank,strategy_id,tier,instrument,timeframe,total_trades,qualified,composite_score,net_profit,sharpe_ratio,profit_factor,max_drawdown_pct,win_rate,status
324,factory_trad_atr_trail_v1,traditional_gen1,EURUSD,H4,296,1,0.2151,-1892.22,-1.031,0.829,28.4,0.226,ok
325,factory_trad_ema_trend_v1,traditional_gen1,USDCHF,H1,1250,1,0.2149,-5816.08,-1.102,0.809,59.84,0.216,ok
326,factory_trad_rsi_trend_v1,traditional_gen1,EURUSD,H1,764,1,0.2148,-4168.6,-0.842,0.883,45.39,0.304,ok
327,factory_trad_ema_trend_v1,traditional_gen1,EURUSD,H4,296,1,0.2144,-1920.54,-1.057,0.825,28.65,0.226,ok
328,factory_trad_roc_momentum_v1,traditional_gen1,AUDUSD,H1,5,0,0.2144,-379.32,-23.682,0.039,3.94,0.2,ok
329,factory_trad_keltner_breakout_v1,traditional_gen1,GBPUSD,H1,329,1,0.2142,-4117.54,-1.97,0.747,41.18,0.31,ok
330,factory_hyb_donchian_adx_v1,hybrid_gen1,USDCAD,H1,159,1,0.2136,-426.05,-0.229,0.952,19.48,0.352,ok
331,factory_trad_donchian_breakout_v1,traditional_gen1,NZDUSD,H1,470,1,0.2135,-4588.37,-1.598,0.781,47.46,0.315,ok
332,factory_trad_stochastic_v1,traditional_gen1,EURUSD,H1,815,1,0.2135,-1858.4,-0.294,0.95,36.52,0.47,ok
333,factory_trad_roc_momentum_v1,traditional_gen1,GBPUSD,H4,4,0,0.2134,-394.04,0.0,0.0,3.94,0.0,ok
334,factory_hyb_ema_rsi_pullback_v1,hybrid_gen1,EURUSD,H1,2,0,0.2133,-199.0,0.0,0.0,1.99,0.0,ok
335,factory_trad_donchian_breakout_v1,traditional_gen1,EURUSD,H1,501,1,0.2126,-3311.31,-0.899,0.862,36.98,0.323,ok
336,factory_trad_macd_cross_v1,traditional_gen1,USDCHF,H1,912,1,0.212,-2975.46,-0.527,0.917,49.18,0.337,ok
337,factory_hyb_macd_ema_trend_v1,hybrid_gen1,AUDUSD,H1,368,1,0.2117,-2978.08,-1.168,0.828,34.37,0.296,ok
338,factory_trad_atr_breakout_v1,traditional_gen1,NZDUSD,H4,186,1,0.2117,-725.21,-0.51,0.911,15.52,0.349,ok
339,factory_trad_macd_zero_v1,traditional_gen1,USDCHF,H4,233,1,0.2117,-537.0,-0.243,0.951,17.0,0.322,ok
340,factory_trad_sr_bounce_v1,traditional_gen1,NZDUSD,H4,147,1,0.2116,-467.59,-0.364,0.947,15.84,0.415,ok
341,factory_hyb_ema_rsi_pullback_v1,hybrid_gen1,NZDUSD,H1,4,0,0.2115,-116.64,-3.168,0.612,1.99,0.25,ok
342,factory_hyb_macd_rsi_v1,hybrid_gen1,USDCHF,H1,432,1,0.2113,-2076.12,-0.652,0.9,31.52,0.301,ok
